time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-05-25 00:00:00+00:00,3,2,4.0,1.0
2023-05-26 00:00:00+00:00,7,4,14.0,3.0
2023-05-27 00:00:00+00:00,4,3,1.0,1.0
2023-05-28 00:00:00+00:00,4,3,,
2023-05-29 00:00:00+00:00,5,4,13.0,2.0
2023-05-30 00:00:00+00:00,4,3,4.0,1.0
2023-05-31 00:00:00+00:00,1,1,,
2023-06-01 00:00:00+00:00,3,2,,
2023-06-02 00:00:00+00:00,3,2,,
2023-06-03 00:00:00+00:00,3,2,,
2023-06-04 00:00:00+00:00,3,2,,
2023-06-05 00:00:00+00:00,4,3,1.0,1.0
2023-06-06 00:00:00+00:00,3,2,22.0,1.0
2023-06-07 00:00:00+00:00,1,1,3.0,2.0
