url_path,views_total,views_unique
/Neosperience/backpack,21,13
/Neosperience/backpack/tags,4,1
/Neosperience/backpack/releases,2,1
/Neosperience/backpack/releases/new,2,1
/Neosperience/backpack/blob/github-repo-stats/Neosperience/backpack/latest-report/report.html,1,1
/Neosperience/backpack/blob/github-repo-stats/Neosperience/backpack/latest-report/report.md,1,1
/Neosperience/backpack/blob/github-repo-stats/Neosperience/backpack/latest-report/report.pdf,1,1
/Neosperience/backpack/blob/master/backpack/cwtacho.py,1,1
/Neosperience/backpack/blob/master/examples/Dockerfile,1,1
/Neosperience/backpack/branches,1,1
