url_path,views_total,views_unique
/Neosperience/backpack,17,5
/Neosperience/backpack/releases,4,1
/Neosperience/backpack/releases/new,3,1
/Neosperience/backpack/compare/v0.2.2...v0.2.3,2,1
/Neosperience/backpack/actions,1,1
/Neosperience/backpack/actions/runs/4031235522/jobs/6930404933,1,1
/Neosperience/backpack/actions/runs/4104072442,1,1
/Neosperience/backpack/actions/runs/4104072442/jobs/7079071981,1,1
/Neosperience/backpack/actions/runs/4104640420,1,1
/Neosperience/backpack/actions/runs/4104640420/jobs/7080392504,1,1
