time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-02-01 00:00:00+00:00,4.0,3.0,3.0,2.0
2023-02-02 00:00:00+00:00,5.0,3.0,6.0,1.0
2023-02-03 00:00:00+00:00,3.0,2.0,2.0,2.0
2023-02-04 00:00:00+00:00,1.0,1.0,,
2023-02-05 00:00:00+00:00,1.0,1.0,,
2023-02-06 00:00:00+00:00,86.0,22.0,21.0,3.0
2023-02-07 00:00:00+00:00,1.0,1.0,3.0,2.0
2023-02-08 00:00:00+00:00,1.0,1.0,,
2023-02-09 00:00:00+00:00,1.0,1.0,,
2023-02-10 00:00:00+00:00,80.0,20.0,19.0,3.0
2023-02-11 00:00:00+00:00,8.0,5.0,,
2023-02-12 00:00:00+00:00,2.0,2.0,,
2023-02-13 00:00:00+00:00,3.0,3.0,,
2023-02-14 00:00:00+00:00,,,1.0,1.0
