url_path,views_total,views_unique
/Neosperience/backpack,18,7
/Neosperience/backpack/releases,7,1
/Neosperience/backpack/releases/new,5,1
/Neosperience/backpack/actions,3,1
/Neosperience/backpack/compare/v0.2.2...v0.2.3,2,1
/Neosperience/backpack/actions/runs/4104072442,1,1
/Neosperience/backpack/actions/runs/4104072442/jobs/7079071981,1,1
/Neosperience/backpack/actions/runs/4104640420,1,1
/Neosperience/backpack/actions/runs/4104640420/jobs/7080392504,1,1
/Neosperience/backpack/actions/runs/4145850716,1,1
