time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-11-25 00:00:00+00:00,2,2,1.0,1.0
2022-11-26 00:00:00+00:00,1,1,4.0,1.0
2022-11-27 00:00:00+00:00,3,3,,
2022-11-28 00:00:00+00:00,25,10,8.0,1.0
2022-11-29 00:00:00+00:00,1,1,2.0,2.0
2022-11-30 00:00:00+00:00,7,7,5.0,1.0
2022-12-01 00:00:00+00:00,26,4,7.0,2.0
2022-12-02 00:00:00+00:00,17,5,1.0,1.0
2022-12-03 00:00:00+00:00,2,2,,
2022-12-04 00:00:00+00:00,2,2,,
2022-12-05 00:00:00+00:00,5,5,1.0,1.0
2022-12-06 00:00:00+00:00,5,4,,
2022-12-07 00:00:00+00:00,15,7,3.0,1.0
2022-12-08 00:00:00+00:00,1,1,5.0,2.0
